año,mes,num_serie_anon,cod_cliente_HASH,contador,sector,Tipo_maquina_anon
2018,1,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,451.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,2,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,383.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,3,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,403.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,4,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,393.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,5,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,510.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,6,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,519.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,7,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,597.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,8,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,298.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,9,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,457.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,10,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,460.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,11,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,494.0,DROGUERIA Y LIMPIEZA,Tipo_1
2018,12,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,351.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,1,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,513.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,2,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,471.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,3,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,467.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,4,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,426.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,5,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,594.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,6,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,534.0,DROGUERIA Y LIMPIEZA,Tipo_1
2019,7,0,070ba31291ffa3ab89120dab9ade56752e0ecf7278cafcc2bdcd20bbf0848d19,674.0,DROGUERIA Y LIMPIEZA,Tipo_1
